character,Favorable,Neutral,Unfamiliar,Unfavorable
Anakin Skywalker,62.454434993924664,16.403402187120292,6.318347509113001,14.823815309842042
Boba Fett,35.83743842364532,30.541871921182267,16.25615763546798,17.364532019704434
C-3P0,85.00604594921403,9.552599758162032,1.8137847642079807,3.6275695284159615
Darth Vader,58.23244552058111,10.16949152542373,1.2106537530266344,30.387409200968523
Emperor Palpatine,31.08108108108108,26.16707616707617,19.164619164619165,23.587223587223587
Han Solo,91.79734620024126,5.307599517490953,1.8094089264173705,1.0856453558504222
Jar Jar Binks,29.476248477466505,19.97563946406821,13.276492082825822,37.27161997563947
Lando Calrissian,44.51219512195122,28.780487804878046,18.048780487804876,8.658536585365853
Luke Skywalker,92.7797833935018,4.57280385078219,0.7220216606498195,1.9253910950661854
Obi Wan Kenobi,90.9090909090909,5.212121212121213,2.0606060606060606,1.8181818181818181
Padme Amidala,43.12039312039312,25.429975429975432,20.14742014742015,11.302211302211303
Princess Leia Organa,91.0950661853189,5.776173285198556,0.9626955475330927,2.166064981949458
R2 D2,90.0,6.8674698795180715,1.2048192771084338,1.9277108433734942
Yoda,90.67796610169492,6.174334140435835,1.2106537530266344,1.937046004842615
